Index,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,ID
1,Dr. Shaitan,1960,-,-,-,-,hindi,tt0398974
2,Nadir Khan,1968,-,-,-,-,urdu,tt1702558
3,Apna Sapna Money Money,2006,134 min,5.3,"1,892","Comedy, Musical, Romance            ",hindi,tt0493437
4,Aag Aur Sholay,1987,-,2.2,20,-,urdu,tt0273405
5,Parivar,1956,-,7.4,21,"Comedy, Drama, Family            ",hindi,tt0049595
6,Humraah: The Traitor,2008,-,-,-,Thriller            ,hindi,tt2930026
7,Jacqueline I Am Coming,2019,112 min,7.9,16,Drama            ,hindi,tt6597160
8,A Mighty Heart,2007,108 min,6.6,"26,885","Biography, Drama, History            ",urdu,tt0829459
9,Midnight Mail,1939,-,-,-,Action            ,hindi,tt0154875
10,Raktalekha,1992,175 min,6.3,12,Drama            ,bengali,tt0364628
11,Veedevadandi Babu,1997,138 min,5.6,218,Comedy            ,telugu,tt0364733
12,A Mayalu Timi Lai,2018 Video,-,-,-,"Short, Music            ",nepali,tt8272296
13,Da Tang Xuan Zang,2016,90 min,6.2,379,"Biography, History            ",sanskrit,tt5684550
14,Sikandar,1976,-,-,-,-,hindi,tt0250733
15,Pehla Qadam,1958,-,-,-,-,urdu,tt1407272
16,Amman Koil Kizhakkaalae,1986,141 min,6.9,63,Drama            ,tamil,tt0318983
17,Shatru,2013,-,4.5,11,"Action, Thriller            ",kannada,tt3148392
18,Kamal Khatri Feat. Simpal Kharel: Jaula Relaima,2017 Video,5 min,-,-,"Short, Music            ",nepali,tt7836398
19,Zinda Jala Doonga,1988,-,-,-,Action            ,hindi,tt0376353
20,Tukaram,2012,156 min,7.3,231,"Biography, Drama, History            ",marathi,tt2302945
21,Ramante Edenthottam,2017,122 min,6,459,"Comedy, Drama, Romance            ",malayalam,tt6517874
22,Faslah,1974,-,-,-,"Crime, Drama, Romance            ",hindi,tt0150519
23,Jawani Ki Ghabrahat,1991,-,-,-,Thriller            ,hindi,tt4820566
24,Anbu Chinnam,1990,-,-,-,-,tamil,tt0318296
25,Naveed,2020,57 min,-,-,Documentary            ,urdu,tt12717866
26,Ramudu Bheemudu,1988,141 min,-,-,Drama            ,telugu,tt12701012
27,Vaade Kavali,2009,-,-,-,Romance            ,telugu,tt3466016
28,Aakhri Muqabla,1978,-,-,-,Action            ,hindi,tt4654666
29,Dracula,1999,92 min,4.1,16,Horror            ,hindi,tt1319563
30,Jahanara,1935,-,-,-,-,hindi,tt0398130
31,Geet,1970,-,7.1,98,"Action, Crime, Musical            ",hindi,tt0065764
32,Sej Piya Ki,1985,-,-,-,Drama            ,hindi,tt2707908
33,Sati Sita Luv Kush,1981,-,-,-,Drama            ,hindi,tt3509698
34,Nuvvu Vasthavani,2000,158 min,6.6,160,"Family, Romance            ",telugu,tt1575647
35,Jam,,-,-,-,Drama            ,bengali,-
36,Madadgaar,1987,-,5.4,11,"Action, Crime, Drama            ",hindi,tt0357879
37,Hamra Se Biyah Karba,2003,-,-,-,Drama            ,bhojpuri,tt1827428
38,Milan Ki Raat,1967,-,4.4,7,"Drama, Romance            ",hindi,tt0351354
39,Bhool Bhulaiyan,1933,-,6,6,Comedy            ,hindi,tt0213519
40,Saajan Chale Sasural,1996,134 min,6,"1,312","Comedy, Drama            ",hindi,tt0246905
41,Khaleja,2010,170 min,7.6,"8,284","Action, Comedy, Fantasy            ",telugu,tt1582519
42,Rogue,II 2017,134 min,5.1,118,"Action, Thriller            ",kannada,tt6682124
43,Shaan,,166 min,-,-,Action            ,hindi,-
44,Bhale Bullodu,1995,-,-,-,Drama            ,telugu,tt6882630
45,Jaal,1973,-,-,-,Musical            ,urdu,tt0397478
46,Yuvakudu,2000,145 min,6.9,110,Romance            ,telugu,tt0464849
47,Goolihatti,2015,156 min,-,-,Drama            ,kannada,tt13276010
48,Hamara Ghar,1950,-,-,-,-,hindi,tt0139306
49,Olessia,2019,120 min,8.1,40,"Drama, Musical            ",malayalam,tt10515954
50,Prohibited,2015,12 min,8.2,25,"Short, Drama, Thriller            ",urdu,tt5159256
51,Sunday,I 2008,135 min,5.3,"2,592","Action, Comedy, Mystery            ",hindi,tt1039989
52,The Destiny,,-,-,-,Biography            ,hindi,-
53,Spy in Goa,1966,-,-,-,"Action, Thriller            ",hindi,tt2761622
54,Time to Dance,2021,113 min,1.3,406,"Musical, Romance            ",hindi,tt8622232
55,Gopi Kishan,1994,161 min,5.5,805,"Action, Comedy, Drama            ",hindi,tt0109922
56,Nigahen: Nagina Part II,1989,140 min,5.2,286,"Drama, Family, Fantasy            ",hindi,tt0187351
57,Dobara Phir Se,2016,127 min,6.6,427,Drama            ,urdu,tt5026204
58,Pagaivan,1997,142 min,5.2,82,"Action, Comedy            ",tamil,tt2373666
59,Red Alert: The War Within,2009,120 min,6.4,337,"Action, Drama, Thriller            ",hindi,tt1245732
60,Adhikar,1938,132 min,-,-,-,hindi,tt0273409
61,Hasta Melapa,1969,-,-,-,Drama            ,gujarati,tt4601930
62,Gangavatarana,1984,-,-,-,-,telugu,tt0242476
63,Amnol Sahara,1952,-,-,-,Drama            ,hindi,tt0449814
64,Waqt Ka Shahenshah,1987,-,4.9,11,Action            ,hindi,tt0442625
65,Coffee Bloom,2015,90 min,5.9,101,Drama            ,hindi,tt3666258
66,Laila Majnu,II 1976,140 min,7.2,259,"Drama, Musical, Romance            ",oriya,tt0266712
67,Vidiyum Munn,2013,129 min,7.4,434,Thriller            ,tamil,tt3209556
68,Olappeeppi,2016,121 min,7.6,120,Drama            ,malayalam,tt6120732
69,Duniya Ke Rangeen Raatein,1997,-,-,-,Drama            ,hindi,tt3681344
70,Timi Sanga,2018,-,6.1,11,Romance            ,nepali,tt8243058
71,Oho Naa Pellanta,1996,-,6.2,19,Comedy            ,telugu,tt0267796
72,Ivanu Thumba Orata,2009,-,-,-,Drama            ,kannada,tt14189052
73,Apnapan,1977,133 min,6.5,73,"Drama, Romance            ",hindi,tt0246433
74,Saath Laakh,1957,125 min,-,-,"Musical, Romance            ",urdu,tt1606327
75,Insaan,1966,-,-,-,-,urdu,tt1502852
76,Takrav,2018,-,-,-,"Action, Romance            ",bhojpuri,tt7419244
77,Highway,I 2014,133 min,7.6,"26,801","Crime, Drama, Romance            ",hindi,tt2980794
78,Pratipaksha,1988,108 min,6.9,8,"Action, Drama            ",bengali,tt1524568
79,Har Raat Naya Khiladi,1990,-,-,-,Thriller            ,hindi,tt3521136
80,Naanaage Naanillai,2016,-,-,-,Drama            ,tamil,tt13057434
81,Atma Tarang,1937,-,-,-,-,hindi,tt0243125
82,Dehorokkhi: The Bodyguard,2013,167 min,6.8,402,Action            ,bengali,tt2942618
83,Beru,2005,104 min,8.3,19,Drama            ,kannada,tt2777694
84,Paigham,1988,168 min,-,-,Fantasy            ,hindi,tt2613436
85,Akela,,-,-,-,Drama            ,hindi,-
86,The Rubiks game,2014,30 min,-,-,"Short, Thriller            ",malayalam,tt13088566
87,Anthervedam,2018,-,-,-,Thriller            ,telugu,tt9053354
88,Enakkul Oru Kadhal,2009,97 min,-,-,Drama            ,tamil,tt13605848
89,Samsara Nauka,1989,-,-,-,-,kannada,tt1283527
90,Patthe Bapurao,1950,143 min,-,-,-,marathi,tt0248294
91,Vida Parayaanmathram,1988,-,-,-,-,malayalam,tt0352979
92,White,I 2016,149 min,3,471,Romance            ,malayalam,tt5278634
93,Sayahnam,2000,-,7,10,-,malayalam,tt0283028
94,Preetam,2021,-,9,15,Romance            ,marathi,tt14045622
95,Britto,2014,124 min,7.5,12,Drama            ,bengali,tt3952870
96,Amrutha Geetham,1982,-,-,-,-,malayalam,tt0252229
97,Pyar Ka Jigar,2003,-,-,-,Romance            ,hindi,tt4960730
98,Stalin Sivadas,1999,118 min,2.7,47,"Action, Thriller            ",malayalam,tt0250747
99,Dheeran,1987,-,-,-,-,malayalam,tt0352287
100,Gopichand Jasoos,1982,150 min,5.9,123,"Comedy, Thriller            ",hindi,tt0262446
101,Vikrant Rona,2021,-,-,-,"Action, Adventure, Fantasy            ",kannada,-
102,Joy: The Real Love Story,2007,127 min,2.1,"1,601","Drama, Romance, Thriller            ",hindi,tt0995840
103,Dharavi,1992,120 min,7.1,282,"Crime, Drama            ",hindi,tt0104098
104,Kamadhenu,1976,-,-,-,-,malayalam,tt0280817
105,Sansarer Itikatha,1983,-,-,-,Drama            ,bengali,tt1593777
106,Shani Arshad: Adha Adha,2019 Video,5 min,-,-,"Short, Music            ",urdu,tt10160924
107,Noces,2016,98 min,7.1,"1,360",Drama            ,oriya,tt5771640
108,Tu Heer Main Tera Hero,2021 TV Movie,-,-,-,Comedy            ,urdu,-
109,Madi Veetu Ezhai,1981,-,-,-,-,tamil,tt1441323
110,Khoobsurat Kali,2003,-,-,-,Thriller            ,hindi,tt4007298
111,Puthayal,1997,144 min,5.9,51,-,tamil,tt0246877
112,Urimai,1985,-,-,-,-,tamil,tt0320701
113,Babai Abbai,1984,117 min,6.3,102,"Comedy, Romance            ",telugu,tt0266290
114,Yaar Meri Zindagi,2008,-,4.8,39,"Drama, Family, Musical            ",hindi,tt1217608
115,Denied: A Life Confined,2013 TV Movie,22 min,-,-,Documentary            ,nepali,tt4912546
116,Jhoomar,2007,-,6.9,7,-,oriya,tt1237894
117,Hututu,2014,138 min,5,5,Comedy            ,marathi,tt3982578
118,Parchhaeen,1989,-,-,-,Thriller            ,hindi,tt1663663
119,Chettathi,1965,-,-,-,-,kannada,tt0231352
120,Sharda,1981,126 min,5.5,19,"Drama, Family            ",hindi,tt0083063
121,Satyanweshi Byomkesh,2019,108 min,6.5,267,"Crime, Mystery, Thriller            ",bengali,tt10902596
122,Mahan,1996,132 min,6,8,"Drama, Family            ",bengali,tt4271912
123,Takht-O-Taj,1970,-,-,-,-,urdu,tt2132465
124,Death Match,II,-,-,-,"Action, Adventure, Thriller            ",nepali,-
125,Kanthaswamy,2009,190 min,5,"1,567","Action, Crime            ",tamil,tt1537032
126,Vishwa Thulasi,2004,-,6.1,32,"Drama, Musical, Romance            ",tamil,tt0432188
127,Saakshyam,2018,166 min,4.7,437,Action            ,telugu,tt7757972
128,Circus Queen,1959,-,-,-,Action            ,hindi,tt3908750
129,"Haseena: Smart, Sexy, Dangerous",2006,-,-,-,Thriller            ,hindi,tt4489064
130,Seemana,1996,-,8.9,8,"Action, Drama            ",nepali,tt6759286
131,Weather Report,2017,91 min,-,-,Drama            ,marathi,tt6577668
132,Shutter,2012,133 min,7.7,"1,017",Thriller            ,malayalam,tt2522328
133,Maithaanam,2011,125 min,5.9,7,"Drama, Family, Mystery            ",tamil,tt2375283
134,Sons of Ram,2012,85 min,6.6,76,"Animation, Drama, Musical            ",tamil,tt2317103
135,Duti Mon,2011,-,-,-,Drama            ,bengali,tt14231578
136,Swapna Lokam,1999,-,-,-,Romance            ,telugu,tt1575691
137,Pattalam,2003,159 min,5.1,316,"Action, Comedy, Drama            ",malayalam,tt0376061
138,The Twelve Thousand,2020,28 min,-,-,"Short, Drama            ",nepali,tt14075090
139,Indulekha (Malayalam),2020– ,22 min,-,-,Drama            ,malayalam,tt13546104
140,Sukham Sukhakaram,1994,-,-,-,-,malayalam,tt0240945
141,Santa,1961,-,-,-,Drama            ,telugu,tt0297378
142,Mullamottum Munthiricharum,2012,-,4.3,14,Drama            ,malayalam,tt3207826
143,Fired,I 2010,87 min,4.4,260,Horror            ,hindi,tt1577050
144,Dillagi,1999,188 min,5.3,"1,068","Drama, Musical, Romance            ",hindi,tt0225515
145,Nesi,2009,-,-,-,Drama            ,tamil,tt13606792
146,Kaana Kanmani,2009,132 min,4.4,106,"Drama, Horror            ",malayalam,tt1530891
147,Bhagwaan Dada,1986,147 min,4.3,167,"Drama, Thriller            ",hindi,tt0186871
148,A 2nd Hand Lover,2015,135 min,-,-,Romance            ,kannada,tt10919164
149,Sampoorna Sant Darshanam,1978,-,-,-,Drama            ,hindi,tt2791100
150,Avar Enakke Sontham,1977,66 min,-,-,-,tamil,tt0273446
151,Dharti ke God Mein,1971,-,-,-,Drama            ,hindi,tt1986813
152,Valar Pirai,1962,-,-,-,-,tamil,tt1449278
153,Shaitaan: A Vision of Madness,2018,65 min,-,-,Thriller            ,hindi,tt11086844
154,Haaru Hakkiyaneri,2010,-,-,-,Drama            ,kannada,tt13724328
155,Payal Ki Jhankar,1968,132 min,4.4,12,"Action, Adventure, Comedy            ",hindi,tt0259494
156,Juniors,2003,-,5.2,13,Romance            ,telugu,tt3417786
157,Palkon Ki Chhaon Mein,1977,127 min,7.5,65,"Drama, Romance            ",hindi,tt0299078
158,Dil Ka Sathi Dil,1982,-,6.7,18,Romance            ,hindi,tt0384918
159,Mounamelanoyi,2002,154 min,6.7,16,Romance            ,telugu,tt3454974
160,Punar Milan,1940,-,-,-,"Drama, Romance            ",hindi,tt0032951
161,Maa Shakti,2002–2003,-,8.4,15,History            ,malayalam,tt5281434
162,Let's Break Up,2020,-,-,-,-,kannada,tt11766304
163,HIRER SHIKAL,1988,126 min,-,-,"Drama, Romance            ",bengali,tt7831920
164,Mohanlal,2018,150 min,4.5,507,Comedy            ,malayalam,tt6917966
165,Dharti Ke Lal,1950,125 min,6.4,16,"Drama, History            ",hindi,tt0038475
166,Angadipattu,2018– ,23 min,-,-,Comedy            ,malayalam,tt8925172
167,Golmaal Returns,2008,135 min,5.1,"7,115","Comedy, Crime, Mystery            ",hindi,tt1092005
168,The Journey Within,2015,78 min,7,35,"Documentary, Music            ",oriya,tt4003012
169,Janma Bhoomi,1995,-,8,6,Drama            ,nepali,tt0305692
170,Inspector Gullu,2018,124 min,6.8,32,Action            ,hindi,tt7971756
171,Deiva Thirumagal,2011,166 min,8.1,"4,954",Drama            ,tamil,tt1857670
172,Aaj Ka Inteqaam,1991,-,-,-,Thriller            ,hindi,tt5267296
173,Tuch Khari Gharchi Laxmi,2011,115 min,-,-,Drama            ,marathi,tt2713666
174,Pataas,2015,127 min,6.7,758,"Action, Comedy            ",telugu,tt4384242
175,Ram,2022,-,-,-,"Action, Crime, Thriller            ",malayalam,-
176,Monagadu,1976,151 min,-,-,"Crime, Drama            ",telugu,tt0390271
177,Kala Dhanda Goray Log,1986,158 min,5.7,35,"Drama, Family            ",hindi,tt0091320
178,Vishwaguru,2017,-,-,-,Biography            ,malayalam,tt7817140
179,Thappad,I 2020,142 min,6.8,"14,626",Drama            ,hindi,tt10964430
180,Talentime,2009,120 min,6.8,183,Drama            ,tamil,tt1351669
181,Maan Bhi Jao Sanam,2018 TV Movie,49 min,-,-,Comedy            ,urdu,tt8298414
182,Shah,2015,109 min,8.5,"1,392","Biography, Drama, Sport            ",urdu,tt4899880
183,Harsha Varsha Jayaraj,2020,-,8,6,"Short, Comedy            ",malayalam,tt13004148
184,Yeh Kaise Hua,1984,-,-,-,-,urdu,tt1268309
185,Adavukal Pathinettu,1978,-,-,-,-,malayalam,tt0271949
186,Bhale Papa,1971,-,-,-,-,telugu,tt0254181
187,Raakhi Ki Saugandh,1979,-,-,-,"Action, Crime, Drama            ",hindi,tt0243513
188,Khara Varasdar,1986,-,-,-,Drama            ,marathi,tt12258568
189,Lakhon Fasane,1961,-,-,-,Drama            ,urdu,tt1645102
190,Vallam Kali,,86 min,-,-,Documentary            ,malayalam,-
191,Qissa: The Tale of a Lonely Ghost,2013,109 min,6.7,896,"Drama, Fantasy, Horror            ",punjabi,tt2334779
192,Amma I Love You,2018,147 min,7.4,55,Drama            ,kannada,tt8364128
193,Kahi Katai,2018,-,-,-,Family            ,nepali,tt8665904
194,Adhiktam,2020,45 min,-,-,"Action, Comedy            ",hindi,tt11292062
195,Oru Vasantha Geetham,1994,-,4.7,9,-,tamil,tt0259479
196,Ishq Ishq,1977,-,3.4,23,Musical            ,urdu,tt0248112
197,Aata Hoti Geli Kuthe,1991,-,-,-,Comedy            ,marathi,tt13666960
198,123,2002,127 min,5.7,59,Comedy            ,telugu,tt3415566
199,Saajan Ki Saheli,1981,-,5.5,44,"Family, Drama            ",hindi,tt0347920
200,Chanakya,2019,147 min,5.4,492,"Action, Adventure, Thriller            ",malayalam,tt8933650
201,Khaan Dost,1976,157 min,5.6,38,"Action, Crime, Drama            ",hindi,tt0215898
202,Kalsandhya,1997,124 min,7.8,11,Drama            ,assamese,tt1977836
203,Ippadikku En Kadhal,2007,115 min,-,-,Drama            ,tamil,tt13654756
204,Chottanikkara Amma,1976,132 min,6.6,8,Drama            ,malayalam,tt0281721
205,Sutradhaarulu,1990,-,8.1,55,"Drama, Musical            ",telugu,tt0250759
206,Butter & Cheese,2014,13 min,-,-,"Short, Family            ",nepali,tt3672760
207,That Girl in Yellow Boots,2010,103 min,6.6,"3,574","Crime, Drama, Mystery            ",kannada,tt1580704
208,Aanamuttathe Aangalamar,2000,108 min,-,-,"Comedy, Drama            ",malayalam,tt14492938
209,Jhankar,1942,-,-,-,-,hindi,tt0370808
210,Ira Thedunna Manushyar,1981,-,-,-,-,malayalam,tt0333636
211,Aideu,2007,91 min,-,-,-,assamese,tt1081913
212,American Desi,2001,100 min,6.6,"1,583","Comedy, Drama, Romance            ",hindi,tt0203289
213,Chettayees,2012,-,4.7,134,Family            ,malayalam,tt2548030
214,Ambalakkara Panchayath,1988,-,-,-,-,malayalam,tt0352162
215,Khape,,-,-,-,Drama            ,gujarati,-
216,Supportive Men,2014 TV Short,21 min,-,-,"Documentary, Short, Family            ",nepali,tt5994746
217,Vivash,,-,-,-,-,hindi,-
218, Alif Laila,1997–2002,-,-,-,"Adventure, Fantasy            ",urdu,tt11423262
219,Poila April,2021,-,-,-,Drama            ,bengali,tt14361576
220,Bachelor Husband,1950,-,-,-,-,hindi,tt0406556
221,Oru Nadigai Natakam Pakiral,1978,131 min,6.2,12,-,tamil,tt0156852
222,Dunia Gol Hai,1974,-,-,-,-,urdu,tt1305021
223,Chalta Purza,1958,-,-,-,Fantasy            ,hindi,tt4209790
224,Hichki,2018,116 min,7.5,"10,905","Comedy, Drama            ",hindi,tt6588966
225,Lover Boy,1985,-,4.1,19,"Drama, Romance            ",hindi,tt0363777
226,Babul,1986,162 min,4.8,9,Drama            ,hindi,tt0962716
227,Babu,2020,26 min,-,-,"Short, Drama            ",nepali,tt7683212
228,Swabhimaan,2019,122 min,-,-,Drama            ,gujarati,tt9725092
229,Meera,1947,120 min,7.7,14,-,hindi,tt0214941
230,Red Indians,2001,-,4.7,15,-,malayalam,tt0314566
231,Navabharata,1988,-,-,-,-,kannada,tt1319643
232,Tribhanga,2021,95 min,6.1,"2,406","Drama, Family            ",hindi,tt11102314
233,Sri Bannari Amman,2002,149 min,-,-,Drama            ,tamil,tt13980542
234,Dear Love,2020– ,-,-,-,-,nepali,tt13212228
235,Apoorva Mahaan,2015,135 min,-,-,Drama            ,tamil,tt13057554
236,Haidar Sultan,1982,-,-,-,"Action, Drama            ",punjabi,tt11543304
237,3 Monkeys,2020,131 min,6.5,82,Drama            ,telugu,tt11536276
238,Carbon,I 2018,146 min,6.9,"1,115","Adventure, Thriller            ",malayalam,tt6650364
239,Kaapalika,1973,131 min,7.8,5,-,malayalam,tt0277061
240,Karunamayi,1987,137 min,-,-,-,kannada,tt1339453
241,Phone Bhoot,2021,-,-,-,"Comedy, Horror            ",hindi,-
242,Aag aur Angaray,1990,-,-,-,Action            ,hindi,tt4417674
243,Athmasakhi,2016– ,-,-,-,-,malayalam,tt10626550
244,Vachikava,2014,-,-,-,Drama            ,tamil,tt13086918
245,Krishna Arjun,2004,-,-,-,Action            ,hindi,tt4954470
246,Rahi,1953,139 min,6.9,27,Drama            ,hindi,tt0152133
247,Chaukat Raja,1991,141 min,7.4,214,Family            ,marathi,tt0436165
248,School Master,2010,143 min,-,-,Drama            ,kannada,tt13730178
249,Halla Gulla,2015,-,5.2,77,"Action, Comedy            ",urdu,tt4920116
250,Monopoly the Game of Money,2012,-,-,-,Thriller            ,hindi,tt1954666
251,Maga Maharaju,1983,-,6.8,30,"Comedy, Drama, Romance            ",telugu,tt0246053
252,Band Baaja Babuchak,2017,123 min,-,-,Comedy            ,gujarati,tt12976166
253,Bebbuli Veta,1985,-,-,-,-,telugu,tt0355250
254,Gita,2008,-,-,-,Drama            ,telugu,tt3439838
255,Kusruthi Kuruppu,1998,135 min,5.8,40,"Comedy, Drama            ",malayalam,tt0273321
256,Mr. and Mrs. Iyer,2002,120 min,7.9,"4,681",Drama            ,tamil,tt0329393
257, Siyaasat,2014– ,-,-,-,History            ,urdu,tt6868074
258,Inth Ka Jawab Patthar,2002,-,3.2,9,"Musical, Action            ",hindi,tt0311337
259,Qalb,,-,-,-,"Drama, Romance            ",malayalam,-
260,Nisithe,1963,-,7.2,10,Drama            ,bengali,tt0151765
261,Cabbie,2019,19 min,-,-,"Short, Horror            ",nepali,tt12121480
262,Advaitham,1991,181 min,7,275,"Action, Crime, Drama            ",malayalam,tt0254936
263,Maruppacha,1982,-,-,-,-,malayalam,tt0317900
264,Kachehari,1994,-,6.4,14,Action            ,punjabi,tt0454491
265,Kismet Road,2004– ,30 min,-,-,Drama            ,urdu,tt0455261
266,Fever,2009,-,8.5,8,"Short, Fantasy            ",nepali,tt2543854
267,Kaashi Amarnath,2017,162 min,4.7,11,"Action, Drama, Romance            ",bhojpuri,tt7586994
268,Afsana Dilwalon Ka,2001,195 min,3.6,"1,024","Drama, Romance            ",urdu,tt0429541
269,Paradise Street,,-,-,-,"Comedy, Romance, Thriller            ",hindi,-
270,Namukkore Aakasham,2015,115 min,-,-,Drama            ,malayalam,tt14434198
271,Argentina Fans Kaattoorkadavu,2019,140 min,4.7,319,"Drama, Sport            ",malayalam,tt8806546
272,Mr. X,2015,133 min,3.8,"1,816","Action, Drama, Sci-Fi            ",hindi,tt3848938
273,Nakhuda,1968,-,-,-,-,urdu,tt0482805
274,Pakhandi,1984,138 min,6.5,26,Drama            ,hindi,tt0268520
275,Ini Ethra Sandhyakal,1979,-,-,-,-,malayalam,tt0325620
276,Bachchan,2013,145 min,6.6,926,"Action, Crime, Thriller            ",kannada,tt2498312
277,Desi Kattey,2014,139 min,4,125,Action            ,hindi,tt3877652
278,Vaddante Dabbu,1954,139 min,6.6,10,"Comedy, Drama            ",telugu,tt0329724
279,Nooran,1957,-,-,-,Romance            ,punjabi,tt4952766
280,Murderer,1935,-,-,-,-,hindi,tt0374069
281,Tharangam,2017,153 min,6.3,478,"Action, Comedy            ",malayalam,tt6853994
282,Zunjar,2003,-,-,-,-,marathi,tt14191284
283,Pyase Nain,1989,-,-,-,Drama            ,hindi,tt2929820
284,Anokha Chamatkar,1988,-,-,-,Drama            ,hindi,tt2714450
285,Vasudhaika 1957,2016,-,-,-,Horror            ,telugu,tt8178538
286,Insaan Aur Shaitan,1970,-,5.1,14,Action            ,hindi,tt0414156
287,Sapthagiri LLB,2017,138 min,7.2,56,"Comedy, Drama            ",telugu,tt9729774
288,Prem Vidrohi,2012,-,-,-,Action            ,bhojpuri,tt5242076
289,Manamantha,2016,164 min,7.7,840,Drama            ,telugu,tt5948916
290,Aug-02,2012,-,4.2,9,Thriller            ,hindi,tt2549618
291,Ponge Ezhu Manohara,2015,-,-,-,"Comedy, Drama            ",tamil,tt6444022
292,Maayon,,-,-,-,"Mystery, Thriller            ",tamil,-
293,1:13:7 Ek Tera Saath,2016,120 min,5.7,57,Horror            ,hindi,tt3411076
294,Diyar Bhojai,1980,-,-,-,Romance            ,gujarati,tt4604852
295,Sair-E-Paristan,1958,-,-,-,Fantasy            ,hindi,tt3949344
296,Lalkare Sheran De,1994,117 min,-,-,Action            ,punjabi,tt1757789
297,Azad Champion,1968,-,-,-,Action            ,hindi,tt4651494
298,Thazampoo,1965,-,6.8,6,-,tamil,tt1475422
299,Haseena 420,1988,-,6.2,5,-,urdu,tt0249571
300,Record,2019,81 min,-,-,Horror            ,urdu,tt11286160
301,Raogari Illu,1988,-,-,-,"Comedy, Drama            ",telugu,tt1310391
302,Proud to Be a Sikh,2014,92 min,7.2,20,Drama            ,punjabi,tt4597882
303,Paranju Theeratha Visheshangal,2007,-,6.3,6,-,malayalam,tt1102297
304,Banna Bannada Baduku,2017,-,-,-,Drama            ,kannada,tt6957140
305,Aickarakkonathe Bhishaguaranmaar,2018,144 min,7.8,239,Drama            ,malayalam,tt9081472
306,Laxmi,1957,118 min,-,-,"Drama, Family            ",hindi,tt0252636
307,Patukunte Padivelu,1967,145 min,-,-,Drama            ,telugu,tt8793888
308,Radha Ghelo Kan,1991,-,-,-,Drama            ,gujarati,tt4614164
309,"U, Bomsi N Me",2005,-,7.4,13,Comedy            ,hindi,tt1569529
310,Les Larmes Noires,2015,127 min,-,-,Documentary            ,urdu,tt10895802
311,Baeelveda,1979,-,-,-,-,marathi,tt0247946
312,Balakot: the true story,2020,-,-,-,Action            ,hindi,tt10852008
313,Maan Marjada,1991,137 min,-,-,Drama            ,bengali,tt5426752
314,Hera Pheri,2000,156 min,8.2,"58,037","Action, Comedy, Crime            ",hindi,tt0242519
315,Raagangal Maruvathillai,1983,-,7.2,5,-,tamil,tt0323755
316,Putra Badhu,1998,-,-,-,Drama            ,bengali,tt7162396
317,Naik Parveen,1975,-,-,-,-,urdu,tt14344696
318,Gollu Aur Pappu,2014,112 min,3.7,101,Comedy            ,hindi,tt4219300
319, Alif Laila,1997–2002,-,-,-,"Adventure, Fantasy            ",urdu,tt11423066
320,Shivani,I 2019,-,-,-,Crime            ,hindi,tt14218668
321,Heer Maan Ja,2019,146 min,5.2,187,"Action, Comedy, Family            ",punjabi,tt10152214
322,Nayakudu Vinayakudu,1980,-,6,6,-,telugu,tt0213929
323,Love You to Death,2012,102 min,5.3,7,"Comedy, Thriller            ",hindi,tt1774473
324,Awara Badal,1964,134 min,5.9,14,"Action, Adventure, Drama            ",bhojpuri,tt0231204
325,Gharer Bou,1990,121 min,-,-,Drama            ,bengali,tt6555524
326,Chief Sahib,1996,-,5,37,"Action, Comedy, Romance            ",urdu,tt0237095
327,Revelations,2016,118 min,7.3,135,Drama            ,tamil,tt6355584
328,Murder,1994,101 min,-,-,"Crime, Drama, Mystery            ",kannada,tt8698288
329,Ivide Ingane,1984,101 min,-,-,"Action, Drama            ",malayalam,tt0351120
330,Porter Ponnusami,1979,-,-,-,-,tamil,tt3376048
331,Amar Premi Sheni Vijanand,1974,-,-,-,Drama            ,gujarati,tt9849992
332,Tum Hi To Ho...,2011,-,3.9,10,"Drama, Mystery, Thriller            ",hindi,tt1905076
333,Bilhana,1948,-,-,-,-,tamil,tt0261567
334,Maharathi,2008,114 min,7.1,967,"Crime, Drama, Mystery            ",hindi,tt1334254
335,Adyathe Maravi,2019,14 min,-,-,"Short, Thriller            ",malayalam,tt13451520
336,Hum Ek Hain,1961,-,-,-,Drama            ,urdu,tt1645083
337,Puzha,1980,-,-,-,-,malayalam,tt0334187
338,Common Opinion,2016,10 min,-,-,"Documentary, Short            ",urdu,tt13821112
339,Paandav,1995,132 min,4.1,533,"Action, Drama            ",hindi,tt0290258
340,Khaidi,1987,-,-,-,-,telugu,tt0322943
341,Savitri,1937,136 min,-,-,Fantasy            ,hindi,tt0029518
342,Raam,2009,149 min,6.6,136,"Comedy, Drama            ",kannada,tt1830782
343,Police Lock Up,1992,-,-,-,Action            ,hindi,tt4540998
344,The Dirty Picture,2011,145 min,6.6,"8,815","Biography, Comedy, Drama            ",tamil,tt1954206
345,Kurbani,1943,-,6.6,5,-,hindi,tt0158711
346,Nepal First Jagad Guru - Yogiraj Swami Documentary,2020,-,-,-,Documentary            ,nepali,tt13595374
347,Lawaris: Karachi's Unknown Dead,2019,-,-,-,"Documentary, Short            ",urdu,tt8447590
348,Rakhewal,2019,130 min,-,-,Drama            ,gujarati,tt11203758
349,Kanasu Maratakkide,2021,132 min,-,-,Drama            ,kannada,tt14142936
