Index,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,ID
24805,Campus Da Challenge,2018,-,-,-,Drama            ,punjabi,tt8785344
24806,Bhool Na Jaana,1965,-,-,-,Romance            ,hindi,tt5308802
24807,Faster Fene,2017,130 min,7.9,746,"Action, Crime, Mystery            ",marathi,tt7458920
24808,Rajaparvai,2021,-,-,-,Action            ,tamil,-
24809,Dhadaka,1990,-,-,-,Drama            ,marathi,tt12157050
24810,Happy Husbands,2011,134 min,3.2,22,"Comedy, Drama            ",hindi,tt1465488
24811,Pattas,2020,141 min,5.7,"1,106","Action, Drama            ",tamil,tt10750020
24812,Kaththi,2014,166 min,7.9,"19,325","Action, Drama            ",tamil,tt3801314
24813,Jhankaar Beats,2003,143 min,7.2,"1,948","Comedy, Music, Romance            ",hindi,tt0347278
24814,Puthiya Mugham,2009,137 min,5.6,576,"Action, Drama, Thriller            ",malayalam,tt1630255
24815,Tu Sukhi Raha,1963,-,-,-,-,marathi,tt0238675
24816,Ka,I,-,-,-,"Action, Thriller            ",malayalam,-
24817,Bhoomi,2017,136 min,5.4,"1,738","Action, Crime, Drama            ",hindi,tt6265988
24818,Sahilz,2019– ,-,-,-,-,malayalam,tt13031570
24819,Balmaa,1993,-,6,20,Romance            ,hindi,tt0404806
24820,CID Sheela,2021,-,-,-,Thriller            ,malayalam,-
24821,Kanne Madanguka,2005,-,-,-,Drama            ,malayalam,tt1156313
24822,Kalyana Thilakam,1985,-,8.5,38,-,telugu,tt1437617
24823,Jug Jugg Jeeyo,2021,-,-,-,Comedy            ,hindi,-
24824,Sanket,1951,-,-,-,-,bengali,tt0244183
24825,Ghar Jamai,I 1935,177 min,-,-,-,gujarati,tt0239001
24826,Bhale Krishnudu,1980,147 min,8.5,28,-,telugu,tt0257443
24827,Sasuchi Varat Sunechya Daarat,2007,-,-,-,Drama            ,marathi,tt14260794
24828,Rok Sako To Rok Lo,2004,-,4.3,"1,837","Adventure, Musical, Romance            ",hindi,tt0423087
24829,Bhatakti Maina,1947,-,-,-,-,hindi,tt0381052
24830,Sarkari Mehman,1979,135 min,4.8,10,"Drama, Family            ",hindi,tt0371932
24831,Jatt & Juliet 2,2013,140 min,7.4,"1,799","Comedy, Romance            ",punjabi,tt2673882
24832,Naago Ka Raja,1980,-,-,-,Action            ,hindi,tt2909038
24833,Us-Paar,1974,-,6.5,21,"Drama, Family, Romance            ",hindi,tt0158313
24834,Keshava,2017,117 min,6.3,432,"Action, Drama, Thriller            ",telugu,tt6342396
24835,Hello Charlie,2021,102 min,3.8,"3,066",Comedy            ,hindi,tt14260080
24836,Sukrutham,1994,148 min,7.4,183,Drama            ,malayalam,tt0246959
24837,Qurbani,1985,-,-,-,Drama            ,bengali,tt8877214
24838,Kudhkana Madme,2020,148 min,-,-,"Comedy, Drama            ",tulu,tt11703454
24839,Mrs & Mr Khurana,2020,89 min,-,-,"Drama, Thriller            ",hindi,tt8495660
24840,Shama Parwana,1937,-,-,-,-,hindi,tt0235759
